region,maternal_mortality,infant_mortality,life_expectancy
Africa,292.1296296296297,39.568518518518516,67.06851851851852
Australia and Oceania,102,14.846153846153847,75.33076923076923
Central America and the Caribbean,69.23809523809524,13.223809523809523,76.54285714285714
Central Asia,18.11111111111111,17.122222222222224,73.82222222222222
East and Southeast Asia,82.125,16.9875,74.8875
Europe,7,4.019047619047619,80.12380952380953
Middle East,22.9375,12.931249999999999,77.1625
North America,23.666666666666668,7.033333333333333,79.9
South America,73.33333333333334,14.325,75.325
South Asia,138.75,27.7125,71.125
