name,region,variable,value
Nigeria,Africa,maternal_mortality,993
Nigeria,Africa,infant_mortality,65.6
Nigeria,Africa,life_expectancy,62.2
Chad,Africa,maternal_mortality,748
Chad,Africa,infant_mortality,61.1
Chad,Africa,life_expectancy,60
South Sudan,Africa,maternal_mortality,692
South Sudan,Africa,infant_mortality,58.6
South Sudan,Africa,life_expectancy,60.3
Central African Republic,Africa,maternal_mortality,692
Central African Republic,Africa,infant_mortality,79.3
Central African Republic,Africa,life_expectancy,56.4
Liberia,Africa,maternal_mortality,628
Liberia,Africa,infant_mortality,55.2
Liberia,Africa,life_expectancy,61.6
Somalia,Africa,maternal_mortality,563
Somalia,Africa,infant_mortality,81.5
Somalia,Africa,life_expectancy,56.5
Afghanistan,South Asia,maternal_mortality,521
Afghanistan,South Asia,infant_mortality,42
Afghanistan,South Asia,life_expectancy,54.4
Benin,Africa,maternal_mortality,518
Benin,Africa,infant_mortality,51.6
Benin,Africa,life_expectancy,63
Guinea-Bissau,Africa,maternal_mortality,505
Guinea-Bissau,Africa,infant_mortality,45.1
Guinea-Bissau,Africa,life_expectancy,64.5
Guinea,Africa,maternal_mortality,494
Guinea,Africa,infant_mortality,45.8
Guinea,Africa,life_expectancy,64.6
Lesotho,Africa,maternal_mortality,478
Lesotho,Africa,infant_mortality,52.2
Lesotho,Africa,life_expectancy,60.2
Madagascar,Africa,maternal_mortality,445
Madagascar,Africa,infant_mortality,38.4
Madagascar,Africa,life_expectancy,68.8
"Congo, Democratic Republic of the",Africa,maternal_mortality,427
"Congo, Democratic Republic of the",Africa,infant_mortality,55.8
"Congo, Democratic Republic of the",Africa,life_expectancy,62.6
Burundi,Africa,maternal_mortality,392
Burundi,Africa,infant_mortality,35.3
Burundi,Africa,life_expectancy,68.1
Mauritania,Africa,maternal_mortality,381
Mauritania,Africa,infant_mortality,29.9
Mauritania,Africa,life_expectancy,65.9
Kenya,Africa,maternal_mortality,379
Kenya,Africa,infant_mortality,26.8
Kenya,Africa,life_expectancy,70.4
Mali,Africa,maternal_mortality,367
Mali,Africa,infant_mortality,55.8
Mali,Africa,life_expectancy,63.2
Cote d'Ivoire,Africa,maternal_mortality,359
Cote d'Ivoire,Africa,infant_mortality,52.3
Cote d'Ivoire,Africa,life_expectancy,63.2
Zimbabwe,Africa,maternal_mortality,358
Zimbabwe,Africa,infant_mortality,32.8
Zimbabwe,Africa,life_expectancy,67.2
"Gambia, The",Africa,maternal_mortality,354
"Gambia, The",Africa,infant_mortality,35
"Gambia, The",Africa,life_expectancy,68.4
Sierra Leone,Africa,maternal_mortality,354
Sierra Leone,Africa,infant_mortality,70.1
Sierra Leone,Africa,life_expectancy,59.4
Niger,Africa,maternal_mortality,350
Niger,Africa,infant_mortality,63
Niger,Africa,life_expectancy,60.9
Togo,Africa,maternal_mortality,349
Togo,Africa,infant_mortality,34.5
Togo,Africa,life_expectancy,72.1
Haiti,Central America and the Caribbean,maternal_mortality,328
Haiti,Central America and the Caribbean,infant_mortality,35
Haiti,Central America and the Caribbean,life_expectancy,65.6
Eritrea,Africa,maternal_mortality,291
Eritrea,Africa,infant_mortality,39
Eritrea,Africa,life_expectancy,67.5
Tanzania,Africa,maternal_mortality,276
Tanzania,Africa,infant_mortality,28.4
Tanzania,Africa,life_expectancy,70.8
Nauru,Australia and Oceania,maternal_mortality,273
Nauru,Australia and Oceania,infant_mortality,7.5
Nauru,Australia and Oceania,life_expectancy,68.6
Cameroon,Africa,maternal_mortality,258
Cameroon,Africa,infant_mortality,44.6
Cameroon,Africa,life_expectancy,64.2
Sudan,Africa,maternal_mortality,256
Sudan,Africa,infant_mortality,39.7
Sudan,Africa,life_expectancy,67.8
Burkina Faso,Africa,maternal_mortality,242
Burkina Faso,Africa,infant_mortality,48
Burkina Faso,Africa,life_expectancy,64.2
"Congo, Republic of the",Africa,maternal_mortality,241
"Congo, Republic of the",Africa,infant_mortality,29.9
"Congo, Republic of the",Africa,life_expectancy,72.9
Senegal,Africa,maternal_mortality,237
Senegal,Africa,infant_mortality,30.4
Senegal,Africa,life_expectancy,70.6
Ghana,Africa,maternal_mortality,234
Ghana,Africa,infant_mortality,30.5
Ghana,Africa,life_expectancy,70.1
Gabon,Africa,maternal_mortality,233
Gabon,Africa,infant_mortality,26
Gabon,Africa,life_expectancy,70.4
Rwanda,Africa,maternal_mortality,229
Rwanda,Africa,infant_mortality,27.4
Rwanda,Africa,life_expectancy,66.6
Venezuela,South America,maternal_mortality,227
Venezuela,South America,infant_mortality,13.6
Venezuela,South America,life_expectancy,74.5
Malawi,Africa,maternal_mortality,225
Malawi,Africa,infant_mortality,28.9
Malawi,Africa,life_expectancy,73
Ethiopia,Africa,maternal_mortality,195
Ethiopia,Africa,infant_mortality,31.3
Ethiopia,Africa,life_expectancy,67.7
Timor-Leste,East and Southeast Asia,maternal_mortality,192
Timor-Leste,East and Southeast Asia,infant_mortality,41.9
Timor-Leste,East and Southeast Asia,life_expectancy,70.5
Papua New Guinea,East and Southeast Asia,maternal_mortality,189
Papua New Guinea,East and Southeast Asia,infant_mortality,31.3
Papua New Guinea,East and Southeast Asia,life_expectancy,70.1
Burma,East and Southeast Asia,maternal_mortality,185
Burma,East and Southeast Asia,infant_mortality,30.8
Burma,East and Southeast Asia,life_expectancy,70.3
Angola,Africa,maternal_mortality,183
Angola,Africa,infant_mortality,46.1
